StarID,Name
978,William Holden
979,Ernest Borgnine
980,Robert Ryan
981,Gil Bellows
982,Renée Zellweger
983,Rory Cochrane
984,Dizzy Gillespie
985,Milt Hinton
986,Marian McPartland
987,Mae Whitman
988,Tony Todd
989,Kelly Rowan
990,William O'Leary
991,William H. Macy
992,Ralph Waite
993,Richard Romanus
994,Joe Flaherty
995,Bruce Ramsay
996,Valentina Vargas
997,Doug Bradley
998,David Schwimmer
999,Charlotte Gainsbourg
1000,Anna Paquin
1001,Nino Manfredi
1002,Anna Karina
1003,Paolo Turco
1004,Phil Harris
1005,Eva Gabor
1006,Sterling Holloway
1007,Marisa Paredes
1008,Juan Echanove
1009,Carme Elias
1010,Daryl Hannah
1011,Matt LeBlanc
1012,Jayne Brook
1013,Gene Ross
1014,Lynn Whitfield
1015,Ron Eldard
1016,Annabeth Gish
1017,Edward Norton
1018,Sheena Easton
1019,Dom DeLuise
1020,Rosana Pastor
1021,Icíar Bollaín
1022,Tim Daly
1023,Caroleen Feeney
1024,Dan Gunther
1025,Armin Mueller-Stahl
1026,Juliet Landau
1027,Michael Beach
1028,Michael Gunther
1029,Craig Chester
1030,Michael Stock
1031,Richard E. Grant
1032,Judi Dench
1033,Theresa Randle
1034,Isaiah Washington
1035,Spike Lee
1036,Emmanuelle Béart
1037,Michel Serrault
1038,Lou Diamond Phillips
1039,Jon Voight
1040,Masatoshi Nagase
1041,Fisher Stevens
1042,Paul Terry
1043,Joanna Lumley
1044,Mark Wahlberg
1045,William Petersen
1046,Dave Foley
1047,Bruce McCulloch
1048,Kevin McDonald
1049,Predrag 'Miki' Manojlovic
1050,Lazar Ristovski
1051,Mirjana Jokovic
1052,Daniel Bernhardt
1053,James Hong
1054,Kanu Bannerjee
1055,Karuna Bannerjee
1056,Subir Banerjee
1057,Soumitra Chatterjee
1058,Sharmila Tagore
1059,Alok Chakravarty
1060,Trace Beaulieu
1061,Michael J. Nelson
1062,Jim Mallon
1063,Michael Jordan
1064,Wayne Knight
1065,Jane Fonda
1066,John Phillip Law
1067,Anita Pallenberg
1068,Billy Bob Thornton
1069,Molly Ringwald
1070,Matt Keeslar
1071,Victoria Smurfit
1072,Eddie Constantine
1073,Akim Tamiroff
1074,Eric Roberts
1075,Gregory Harrison
1076,Margaret Cho
1077,Danny Glover
1078,Shirley MacLaine
1079,Barry Corbin
1080,Raymond Cruz
1081,William Forsythe
1082,Kevin Dillon
1083,Bill Nunn
1084,Audie England
1085,Costas Mandylor
1086,Eric da Silva
1087,Charlie Talbert
1088,George C. Scott
1089,Lukas Haas
1090,John C. Reilly
1091,Roger Moore
1092,Fredro Starr
1093,Carol Kane
1094,Jennifer Connelly
1095,Ben Chaplin
1096,Joey Lawrence
1097,Billy Joel
1098,Cheech Marin
1099,Jonathan Banks
1100,Gary Farmer
1101,Crispin Glover
1102,Olivier Martinez
1103,Pierre Arditi
1104,Christian Clavier
1105,Valérie Lemercier
1106,Zack Duhame
1107,Maila Nurmi
1108,Dolores Fuller
1109,Paul Marco
1110,Robin Tunney
1111,Fairuza Balk
1112,Neve Campbell
1113,Randy Quaid
1114,Eileen Atkins
1115,Kate Beckinsale
1116,Sheila Burrell
1117,Rupert Everett
1118,François Hadji-Lazaro
1119,Anna Falchi
1120,Helen Hunt
1121,Pamela Anderson
1122,Amir AboulEla
1123,Adriana Alexander
1124,Atsuko Tanaka
1125,Iemasa Kayumi
1126,Akio Ôtsuka
1127,Lucinda Jenney
1128,Nicollette Sheridan
1129,Charles Durning
1130,Peter Sallis
1131,Anne Reid
1132,Justin Fletcher
1133,Jessica Lundy
1134,Richard Schiff
1135,Peter Sellers
1136,Sterling Hayden
1137,Maggie Cheung
1138,Dominique Horwitz
1139,Thomas Kretschmann
1140,Jochen Nickel
1141,Treat Williams
1142,Burt Reynolds
1143,Pruitt Taylor Vince
1144,Liv Tyler
1145,Shelley Winters
1146,Diane Lane
1147,Brian Kerwin
1148,Jared Harris
1149,Martha Plimpton
1150,Magaye Niang
1151,Myriam Niang
1152,Christoph Colomb
1153,Brigitte Bardot
1154,Alain Delon
1155,Ewen Bremner
1156,John Plumpis
1157,Mary Kay Bergman
1158,Leslie Mann
1159,Bill Murray
1160,Vanessa Williams
1161,James Coburn
1162,Claudiu Bleont
1163,Olga Tudorache
1164,Amy Brenneman
1165,Viggo Mortensen
1166,Trini Alvarado
1167,Peter Dobson
1168,Chris Cooper
1169,Elizabeth Peña
1170,Stephen Mendillo
1171,Michelle Trachtenberg
1172,Gregory Smith
1173,Kyra Sedgwick
1174,Forest Whitaker
1175,Amy Braverman
1176,Jennifer Aniston
1177,John Mahoney
1178,Dennis Franz
1179,Thora Birch
1180,Vincent Kartheiser
1181,Dirk Benedict
1182,Will Patton
1183,Shaquille O'Neal
1184,Ally Walker
1185,Patrick Bauchau
1186,Haydée Politoff
1187,Daniel Pommereulle
1188,André Eisermann
1189,Udo Samel
1190,Jeremy Clyde
1191,Geneviève Bujold
1192,Megan Ward
1193,Billy West
1194,Goldie Hawn
1195,Bette Midler
1196,Jon Lovitz
1197,Louise Fletcher
1198,Hedy Burress
1199,Jenny Lewis
1200,Rachel Weisz
1201,Mara Wilson
1202,James Cosmo
1203,Vincent Perez
1204,Mia Kirshner
1205,Richard Brooks
1206,Kevin Pollak
1207,Kyle Howard
1208,Pierre Brasseur
1209,Alida Valli
1210,Juliette Mayniel
1211,Angie Everhart
1212,Marcia Gay Harden
1213,Stacy Keach
1214,Jeffrey Wright
1215,Benicio Del Toro
1216,Don Johnson
1217,Michelle Yeoh
1218,Joe Pantoliano
1219,David Paymer
1220,Rosanna Arquette
1221,Rongguang Yu
1222,Emil Chau
1223,Brock Pierce
1224,Blake Boyd
1225,Haley Joel Osment
1226,Scott McAfee
1227,Candace Hutson
1228,Heather Hogan
1229,Ariane Schluter
1230,Donald Pleasence
1231,Paul Rudd
1232,Marianne Hagan
1233,Imogen Stubbs
1234,Anthony J. Robinow
1235,Élodie Bouchez
1236,Gaël Morel
1237,Stéphane Rideau
1238,Gary Cooper
1239,Ingrid Bergman
1240,Cary Grant
1241,James Stewart
1242,Gene Kelly
1243,Donald O'Connor
1244,Debbie Reynolds
1245,Leslie Caron
1246,Oscar Levant
1247,Audrey Hepburn
1248,Fred Astaire
1249,Kay Thompson
1250,George Peppard
1251,Patricia Neal
1252,Kim Novak
1253,Barbara Bel Geddes
1254,Grace Kelly
1255,Wendell Corey
1256,Clark Gable
1257,Claudette Colbert
1258,Walter Connolly
1259,Charles Boyer
1260,Joseph Cotten
1261,Ginger Rogers
1262,Alice Brady
1263,Eva Marie Saint
1264,James Mason
1265,Fred MacMurray
1266,Marilyn Monroe
1267,Humphrey Bogart
1268,Paul Henreid
1269,Mary Astor
1270,Gladys George
1271,Rex Harrison
1272,Stanley Holloway
1273,Gregory Peck
1274,Eddie Albert
1275,Shirley Temple
1276,Richard Greene
1277,Anita Louise
1278,Judy Garland
1279,Margaret O'Brien
1280,Frank Morgan
